is_spam,text
1,Suspicious credit card activity be note Please confirm your personal data otherwise we will be force to block it http://security manager stgeorge.com/cgi 8:55 AM
0,I at cck now..
0,ok.. where u nw? mi reachin soon...
1,Reminder: can you please confirm if this delayed delivery belongs to u or we sent it back to the sender https://xxxxx
0,Haha... Jus tryin to keep in touch lah... Ya still workin as surveyer but goin to quit at e end of e wk... Btw ├╝r work affected by  SARS?
1,Dear customer Your contact detail have be update in the system from old contact number XXXXXXXXXX to new contact number XXXXXXXXXX
0,yup.. at  <#>  rite?
0,Ok now it is working. Is this a bug?
1,Winter Clearance Sale is LIVE NOW! Avail UP TO 30% OFF on your favorites before stock runs out. Visit Cambridge store or shop online: www.thecambridgeshop.com
1,Dear Customer Reference your DND SR SRO000100LX3 the concern operator have revert that the usage detail of the report number SMS sender ID do not indicate telemarketing activity Hence no action have be take against the reported number SMS sender ID
0,Really r u behind me then?
0,Hey.. Can you come outside the lab?
0,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
0,OK. I hang out in r4 lounge/ TV room.
0,"Ok show end liao... Bedtime! Faster go slp, u have to wake up early tml! Morn call at 7.55 ok?"
1,SBI A/C will be block today update your PANCARD for KYC erify your account login NetBanking KYC upload.Click here link
1,Join Appin Job Oriented Program in hitech areas of Hacking  Robotics  Java  .Net and get placed in top MNCS.Reg.now.Call/SMS:9717470565
1,get lifetime pension rs  lac annually get rs  lac on maturity  lac by investing rs  monthly save tax sms tr to  tc
0,Wah cannot. Lol must find.
0,thank you dearie! u so sayang me today! love u. get home safe!
0,Okie share then.. ya I will haha...I not.stupid lah
1,the impossible offer no pre emi till possession book with  lac  taxes  rest on possession bhk cr onwards call  wwwnirmaloffercom
1,yes your favorite saturday steal deal is back book any service min  flat off use code stealsat now on laundryapplianceslaptopdrivers zimmbercomapp
1,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p"
1,central presents all for men last  days of exciting promotions enjoy upto  off on leading fashion brands shop  get gifted with goldsilver coin also avail  bonus payback pts on shopping of rs across mens formal wear  casual wear  mens footwear in a single bill valid till  may tnc
1,weekend deal everything at rs          only for dinner on friday  saturday and  sunday order now from holachefcom
0,How I know.. Go home?
0,X course it 2yrs. Just so her messages on messenger lik you r sending me
1,upto  off on amante lingerie grab your favourite one offer available exclusively on zivame shop now mdealcotmjimjywmdg
1,Latest Nokia Mobile or iPOD MP3 Player +?400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.?1
0,OK cool :-)
1,how to win election attend one day free seminar on this topic at new delhi ymca connaught place today  tomorrow at  pm call   wwwiplindiain
1,you can now increase buyer offers on quikr ad  just by adding phone inspection report from true value app   run the app on the same phone you want to sell if prompted  use otp    download the app from httpsplaygooglecomstoreappsdetailsidcommlappsaplustruevalueappreferrerutmsourcequikrutmmediumquikrxutmtermdevicetestutmcontentutmclientid
0,Ps._.that's not me!! Haha he like to mess ard with you._. Omg Joel islike some businessman hahaha
1,thanks for being a great customer heres a special rs cashback for ushasainigmailcom  for a rechargebill payment of rs or more on snapdeal androidios app use promo code sd valid once per userdebitcredit card till may not valid for airtel tca transact now httpappredirectsnapdealcomrechargewebprepaidsms
0,hey how ou doing.come and get me from home
1,Do n't waste your time Earn extra income per month Start online work From home Just fill your detail http://xq3i.com/HWAHLNLKYQLMH
1,Hi Irshaad the SMS be a scam Please do n't pay over any money If you receive a parcel from the Post Office and there be import duty or VAT payable you pay it at the post office counter
1,METAMASK inform you that your wallet will be suspend if you do not proceed to the SMS authentication system http://authentication2factor metamask.io
0,"Haha call when you're done then! I tried to paint my toe nailsorange, but omg looks so fail!"
1,great shopping festival  play bsnl gold club and win tv   mobile  weekly recharge dial  toll free now  all the best  t  c apply
1,OPTUS MSG Billing problem To avoid service termination login to My Account now http://1yesopt.us/id MDQwMjM1ODA1 Mw ==
1,now update your email id with payback  get  bonus points  exciting offers type hpclkyc  your email id and send it to  update now tnc
1,godrej prana undri pune to book your home    bhk lac only easy payment plan call 
0,Not so early.
0," Sry, can't make it. Got stuck."
1,ow use Internet on your Airtel mobile! You will be receiving Free Internet settings shortly. Save the settings and enjoy internet
1,The delivery of your package plan for the 19/09/2019 require a check and a payment of 2.99 GBP via http://bit.ly/GBMAILRO
1,this diwali aim for the sky get  off on bank exam programs available in both pendrive  online use coupon code diwali wwwtalentsprintcom
0,"Hi guys, I spoke to Arti. Is 8pm today a good time to meet?"
0,Yeap! Eating sushi! Yeah i'm not so tan chi! Haha I just woke up andleft hostel!
0,"Nothing much, chillin at home. Any super bowl plan?"
1,Sub ID XXXXXXXXXX A C Balance R 8006.55 Your TATA SKY long duration pack s be due TODAY TO enjoy uninterrupted viewing for the next need account balance of Rs.8500 Recharge now To know pack hold give a missed call on XXXXXXXXXX from your RMN Please ignore if already recharge
0,Is it gonna be 3d
1,havmor surprisesbuy any sandwich and get a lemonade free valid for    mar at havmor eateries ahmedabad till pm cpn  a tc apply
0,wait i think i shud just search it in local marketcuz otherwise ill have to transfer the money into your acwhich is hell of a job
0,ll earn little. 2)i can afford to take ano├¿r job in the day mah.3)i stil wan admin kind.
0,Ohh you girls ah. Then I go for wut. Shouldnt have came back to hostel today.
1,Thank you for visiting Yatra.com! We have your search saved. Click http://bit.ly/24eWs0i and get upto Rs. 1500 cashback in your Yatra wallet.
0,Shall call now dear
1,88800 and 89034 are premium phone services call 08718711108
1,dear customer  get rs flat off at amazonin with no min purchase just login to icicibankcom before dec offer details  user idpswd at bitlyisywhl
0,Haha.. oo.. then hw u going later
1,LEDGER ALERT Dear New info about July XXXX database hack Your asset can be at risk Take action immediately http://ledger.report
1,dear rider  get  off uber rides across delhi ncr thats almost rskm promo delhi with fares so low  sit back  relax  uber it everywhere tc apply
1,Hello  we are having trouble authorizing your Payment Method.  Please update your informations here :  Tap to Load Previewhttp://
0,Should I be stalking u?
1,Dear Mr./Ms.I be Manager Soniya Complete your online Job Application to start get Rs.5999-8999 DAY Click wa.me/918095565377 Regards Society-sss
0,"Yeah, sorry, thought I texted you"
1,Dear SBI user your SBI YONO Account will be block today Please click here on the link to update your PAN CARD detail http://bit.ly/3B1wlXt
1,Dear Customer your SBI YONO Account will be block today Please Update Your PAN CARD http://rb.gy/irfymd
1,"Dear Deepak Income Tax e filing require you to click http://bit.ly/2C2115v to submit a formal refund_request for the remittance of your approve accumulate overdue tax refund of 35,322.19 as state in your payment column"
0,Yaar i love sincere and lively friends like you.No fear
0,Just one copy of passport and visa.actually one scan also was good anywats its late now
1,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
0,LOL COZ I WAS WAITING FOR THE TOILET:D why!! See doctor???? I got flu): ):
1,get upto rs cashback on domestic flights pay via icici internet banking use code icicinb tnc book on makemytrip app mdealcotmjkmtemtq
0,Yes will do.  Thank you! :-)
1,introducing new reliance jalsa plan get unlimited data  unlimited std  unlimited local and unlimited roaming  sms pls call on    tc
0,m having dinner with my cousin...
1,"Satisfy your cheese cravings by making easy Lasagne Roll ups today! For recipe, click the link: http://p.jazzmobilemag.pk/i2QqYQo/ceb6"
0,"Daddy at home, what time you will be back to fetch me to airport."
1,order delivered we have now delivered your dracula we hope you are happy with the product download invoice and manage your order on the snapdeal app at httpsnpdlininxezhg
1,get overdosed with unlimited music and videos with idea spl offer at rsmonth click bitlyisjkp
0,"Haha better late than ever, any way I could swing by?"
0,Oh my parents and bro.
1,00C9ALSACC 00C9 We notice unusual activity on your card Please call +1 XXX XXX-XXXX
1,Missed out DDA Scheme! Chance to own a flat in Delhi NCR.SMS DNA 25 to 54545. 
0,"Hi, is it confirmed that i am collecting the duron and sound card from you at semb mrt tmr?"
1,dear customer  shop using icici bank net banking  get a clayton watch absolutely free  offer till sep use code icicimx at httpbitlyqdych tnc
1,Thursday X August XXXX Your account have be suspend and require verification Please follow the link or visit the near branch http://verifybank.com
1,get rs off on your next flight booking  only on your hdfc bank credit card use code flyhdfc for booking  visit httpbitdosmartbuy tnc apply
0,"Im in senai airport waitin for my dads russian crew,then bring then for dinner,hope can make it back for my baby"
1,dadas shedabale wants to be friends on facebook you have  friends in common  reply  to confirm or go to httpsfbcomlhkrrrgszghn 
0,hahaha.. baobei so constipated just now.
0,Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt
0,U with da Jie?
1,Fido Cst Service Deposit the fund of XX that we ow you due to a billing error http://securefunds.fund/
1,intex eco  mobile at just rs hurry limited stock visit askmebazaar httpgooglndhc
1,download myairtel app to get exclusive full talktime offers on rs airtel recharge use promo code appftt clickcharges apply airtelinmyairtelapp
0,Thk so la... Wat time u finish...
0,"Yo!! I'm not going night training tonight, very lazy:P going home bymyself! (:"
1,watching t at home  come enjoy  cheer  support india on big screengazab india and get  discount  for booking call  sco sec pkl           
0,Yes reached already.
1,Your CV have be shortlist for VP GM.Interview on 09.06.20 to 20.06.20.Call 9330435814.www.s ycamoremanpower.com send via shine.com
1,Your One Time Code be XXXXXX for a payment of 955.25 GBP to JOHN LEWIS Ref RBSJ If not you contact us on XXXX XXX XXXX
1,get hair growth  dandruff  baldness remedies in hrs for tamil new year  vcare  off for all treatments valid til aprpmso book now  save ct 
1,Within 24Hrs Please Contact Customer Care XXXXXXXXXX to Continue Your Service Thank You
1,askmegrocery flash sale at  off use flat for  off  extra mobikwik cashback visit httpgooglqlgxfz  min purchase rs free delivery
0,i ll try do something
1,tune preet jo mujhsemeera ka mohan has been set as your caller tune for all at rs  day the service will get deactiveted on  to deactivate  sms stop to or call toll freeandroid user click on httphyperurlcoskt to download vodafone callertunes app for free holiday unwell etc tunes
1,"Back to school means we are all looking for easy and healthy school lunch ideas! For details, click this free video: http://l.jazzmobilemag.pk/NBFM0hi/ad5c"
0,Haha. Same as.today bah. Lter i call u lo. Esting macaroni now andthinking of u
0,I am in clas
1,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
1,Y'ello Recharge a total of R40 MTN airtime within X day get R8 free MTN to MIN airtime valid XX hour Dial XXX select Recharge Rewards TCs apply
1,LetMeKnowUpdate Marketing Interns required @ Innovative Media Comp Multiple Internships at Vrixx Market Research Internship at SCORG Visio
0,and the forearm have a positive correlation
0,Yeah haha quite sian! Oh Sankar! Why is he emceeing? Haha ohh shucksI forgot! Later I'll ask when I have meeting!
0,Huh? No la... my dog always go there one... I help you find the number la
1,we care for you get flat  off on all personal care products extra  cashback on mobikwik usecode wow minorder maxdisc wwwaskmegrocerycom
0,Let's just hope my job search goes as well.
0,Manu of my colleagues were tested positive
0,Keep asking me to inform billy and ask dillion if he wan join. Fucker siaz
0,But she keep losing already what..shld have faith in her!!
1,Exciting offer from Bajaj Finance Ltd! Get quick disbursal on a Personal Loan by giving a missed call to 8750960377 for pre-approved offers. Terms and conditions apply.
1,celebrate valentines day  world of titan visit your nearest store  get a gift on purchase of above rs  offer valid  feb ph  tc
0,"Hey lynette, sorry for this abrupt message. I was doing the budgetand i realised i dont have the updated games for amazing race. Pleasesend to me when you are done, thanks alot! :-D"
0,Anyway help u sign up back that one le left 1 slot only u dun wantthen cancel when near  <#>  more kiasu abit lol... I scare u not enuffresearch point
1,HERMES Sorry we miss you there will be a ├é┬ú 1.45 fee for redelivery To arrange your redelivery please proceed via http://hermes.find myparcel.com
0,I know but dun nid heat wad. Erm socl2 for wad
0,"Oh, you got into same course as meijun...   you will have company then..."
1,summer dhamaka in mangalam buy any electronic product  get free emi cardn easy emi finance at bajaj finserv only on manglam tc apply
0,Nope... Will b bz packin my luggage... Goin aust 4 hols...
0,Ok. I only hav the solutions wif me. The test paper mus download fr ivle. :p
0,cl me whn u reach
1,"Perfect Weekend Getaway- Party at FabHotel Beach Resort in Goa. 3D/ 2N all incl. Hotel packages from Rs. 1749 per person- Limited period offer! Call 01244605106,"
0,I.ll post her out l8r. In class
1,Your Kotak credit card payback point worth INR XXXX expire by today Kindly redeem your point in cash by click here http://www.propaycash .com rewmem
1,Congrats You Won 1st Prize Tata Saafari In 9th anniversary Day fpkart This Is Valid For Today For Registration Contact On XXXXXXXXXX fpkart
0,Roy intro pls
1, oclock flash sale for hrs bfw i am design by pratik  priyanka at flat  off styletag tc apply add to cart for discount visit httpgooglnmngiq
0,I nd to talk to u.plz wake up. 
1,book bhk flats at sec noida golf centric developmentproject by lotus green n hssubvention scheme ltd period offerfor disccall 
0,"Can you kiiindly check my table tomorrow morning, and find the a4 sheet which have marks of  <#>  students and keep it with u till i come."
1,Dear customer Your SBI account have be block Please update your KYC in click here link http://bit.ly/3hZfQt| SBIBANK
0,Giv me a cal wen u gt free tim... I jst rchd hom....
0,Haha thanks >< you shouldn't have!><
1,"This be JESSA KALANKAY from Global Watch ShopCONGRATULATIONS for win SEIKO X WATCH worth Php 7,999.00in our Grand Raffle today as GRAND OPEN CELEBRATION OF OUR STORE.f you want to claim the item you can REPLY CONFIRM The receiver will ONLY cover the Proces"
0,remember to get the phone book from  that person.
0,The coach of the boiler is tomorrow morning ... :(
0,Yea so sorry..
0,Ya ate my carbonara lol... wa liddat also can arh... so sudden... nvmthere is always phuket trip lol... but ur Taiwan trip so long later ycannot
1,Dear Customer Your Debit card have be BLOCKED The data have not be Updated yet If you want to release Your ATM card Please urgnetly contact +97470115596
0,"''Life is beautiful only for those who knw how to celebrate the PAIN"".-.. :-)Gud nite :-)"
1,hurry up drink cocacola and sms to   every sms is a chance to win couple ticket to paris to watch eufa  match live  uefa original football and  led tv lucky draw will be at  pm  live on tvm taste the feeling
0,Hmm nxt sat and sun I not free le. Mayb nxt nxt sat la
0,Hahaha not for me bah. Gotta study.
0,"Haha, just what I was thinkin"
0,I m nt doing anythn 
1,"Reporting a suspicious text message be free and only take a minute 13,000 scam have be remove as of May XXXX as part of the XXXX service"
0,the sentence is?
1,may all the sweet magic of christmas conspire to gladden your heartsget spl songsclick httptinyurlcomorffnk to download for free
0,sorry yaarin min i rchd here cell ws in silent mode
1,special g data offer recharge   gb data for  daysextra  mb data  extra  days validity  limited period offer only for you recharge today
0,T.T... but ur tu tu more fun haha... ya lo so cute he pose with thoseangmoh lol...
0,Haha go eat first! Yea not a lot of food haha sad! But I'm fullanyways haha x.x eh? No haha later msn tell you easier! Haha what!!! Ican reach today coz I'm wearing heels muahaha! Nope no pastry~
0,Can can? Hee
1,Dear customer SIM document rejected service block and deactivated plz customer care no 8637550090  immediately call thankyou 
0,lg in school alr hor?
1,YOUR NUMBER HAS WON 9OLAKH RUPEES FROM COCA COLA COMPANY U.K SEND YOUR NAME MOBILE NUMBER AGE SEX BANK DETAILS AND ADDRESS VIA cocacolaclaimcentr USER.co m
1,Vodafone and Idea be now Vi Request you to please spare a couple of minute and fill the NETWORK Feedback form SAVE Click http://bit.ly/Vi_NetworkFeedback
1,dominos cheesy pizzas are calling uget  off on  abovecall orderonlinemobile dominoscoin cpn crmefbdc vld till maytc
0,Remember to ask alex about his pizza
1,Brings Success to Business Work Good Health CLICK TO BUY http://s.lazada.com.ph/s.e3aPf
0,36 no gal around to chat wif leh.
1,Aadhaar Pay transaction from SBI merchant outlet for Rs 1000.O be successful Transaction reference number be XXXXXXXXXXXX Date 13/03/2020 04:11:46 PM
0,Goodmorninggg
0,Yup until we finish talking and assigning jobs lo.
0,"Haha yups:x! Haha ^^ I dunno, I want to eat soya bean ice cream!"
1,Dastak Na Dou - Season 2 phir laya hai Corona sey bachao kay mutalik mazaydar mini drama series!
0,Hmm wanna try island cremery? Haha
0,First say sorry
0,I just did facial... GOing home for dinner and lao yu sheng.
1,Shipped Your Realme C3 Frozen Blue ... with order ID OD119150984262247000 have be ship and will be deliver by Friday Jul XX XXXX Track your shipment here
0,Me too! Have a lovely night
1,new gifts for  gift pizzahut  shoppersstop  bookmyshow  titan  other gift cards to loved ones using oxigen wallet upgrade app now httpbitlyqpwtm
1,You have be select to get a PRIZE fill out the survey and claim it bit.ly/3vBH8KW
